dataset_key,dataset_name,variant,action,candidate_mode,target_player_a,target_player_b,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid,candidate_probability,_candidate_x,raw_influence
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,0,Carlos Alcaraz,Andrey Rublev,0.0,236,reverse,0.0,0.031812212166777404,0.031812212166777404,0.7749924619641648,-0.7749924619641648,0.014510152602548407,-0.4495422605976242,514,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,1,Andrey Rublev,Carlos Alcaraz,1.0,236,forward,1.0,0.031812212166777404,0.031812212166777404,0.2250075380358352,0.7749924619641648,0.01451015260254841,-0.4495422605976242,236,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,2,Novak Djokovic,Carlos Alcaraz,1.0,177,forward,1.0,0.03105778214005991,0.03105778214005991,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,177,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,3,Novak Djokovic,Carlos Alcaraz,1.0,251,forward,1.0,0.03105778214005991,0.03105778214005991,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,251,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,4,Novak Djokovic,Carlos Alcaraz,1.0,202,forward,1.0,0.03105778214005991,0.03105778214005991,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,202,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,5,Novak Djokovic,Carlos Alcaraz,1.0,168,forward,1.0,0.03105778214005991,0.03105778214005991,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,168,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,6,Carlos Alcaraz,Novak Djokovic,0.0,168,reverse,0.0,0.031057782140059907,0.031057782140059907,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,446,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,7,Carlos Alcaraz,Novak Djokovic,0.0,202,reverse,0.0,0.031057782140059907,0.031057782140059907,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,480,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,8,Carlos Alcaraz,Novak Djokovic,0.0,177,reverse,0.0,0.031057782140059907,0.031057782140059907,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,455,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,9,Carlos Alcaraz,Novak Djokovic,0.0,251,reverse,0.0,0.031057782140059907,0.031057782140059907,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,529,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,10,Carlos Alcaraz,Holger Rune,0.0,122,reverse,0.0,0.029884526320545925,0.029884526320545925,0.7013206675835397,-0.7013206675835397,0.023383229150344607,-0.4495422605976242,400,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),drop,drop,,Carlos Alcaraz,Novak Djokovic,11,Holger Rune,Carlos Alcaraz,1.0,122,forward,1.0,0.029884526320545925,0.029884526320545925,0.2986793324164602,0.7013206675835397,0.023383229150344607,-0.4495422605976242,122,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,0,Carlos Alcaraz,Novak Djokovic,0.0,168,reverse,0.0,0.07796491006296671,0.07796491006296671,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,446,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,1,Novak Djokovic,Carlos Alcaraz,1.0,177,forward,1.0,0.07796491006296671,0.07796491006296671,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,177,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,2,Carlos Alcaraz,Novak Djokovic,0.0,251,reverse,0.0,0.07796491006296671,0.07796491006296671,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,529,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,3,Novak Djokovic,Carlos Alcaraz,1.0,251,forward,1.0,0.07796491006296671,0.07796491006296671,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,251,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,4,Novak Djokovic,Carlos Alcaraz,1.0,168,forward,1.0,0.07796491006296671,0.07796491006296671,0.6105303967949611,0.3894696032050389,0.018608863984160146,-0.4495422605976242,168,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),flip,flip,,Carlos Alcaraz,Novak Djokovic,5,Carlos Alcaraz,Novak Djokovic,0.0,177,reverse,0.0,0.07796491006296671,0.07796491006296671,0.3894696032050388,-0.3894696032050388,0.018608863984160142,-0.4495422605976242,455,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,0,Carlos Alcaraz,Novak Djokovic,,291,forward,1.0,0.046907127922906806,0.046907127922906806,,,,,26,0.3894696032050388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.046907127922906806
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,1,Novak Djokovic,Carlos Alcaraz,,291,reverse,0.0,0.046907127922906806,0.046907127922906806,,,,,27,0.3894696032050388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0]",0.046907127922906806
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,2,Novak Djokovic,Hubert Hurkacz,,287,reverse,0.0,0.03283469273396998,0.03283469273396998,,,,,19,0.1286009459610507,"[0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0]",0.03283469273396998
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,3,Hubert Hurkacz,Novak Djokovic,,287,forward,1.0,0.03283469273396998,0.03283469273396998,,,,,18,0.1286009459610507,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.03283469273396998
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,4,Novak Djokovic,Alexander Zverev,,281,reverse,0.0,0.03222511740304321,0.03222511740304321,,,,,7,0.20223476633959953,"[0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03222511740304321
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,5,Alexander Zverev,Novak Djokovic,,281,forward,1.0,0.0322251174030432,0.0322251174030432,,,,,6,0.20223476633959953,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0322251174030432
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,6,Novak Djokovic,Stefanos Tsitsipas,,279,reverse,0.0,0.0317708968396955,0.0317708968396955,,,,,3,0.15895649179246438,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0317708968396955
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,7,Stefanos Tsitsipas,Novak Djokovic,,279,forward,1.0,0.031770896839695494,0.031770896839695494,,,,,2,0.15895649179246438,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.031770896839695494
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,8,Novak Djokovic,Andrey Rublev,,289,reverse,0.0,0.03156373598649555,0.03156373598649555,,,,,23,0.15626810116239093,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0]",0.03156373598649555
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,9,Andrey Rublev,Novak Djokovic,,289,forward,1.0,0.03156373598649554,0.03156373598649554,,,,,22,0.15626810116239093,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.03156373598649554
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,10,Novak Djokovic,Jannik Sinner,,285,reverse,0.0,0.029480649867892856,0.029480649867892856,,,,,15,0.2586147884516767,"[0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.029480649867892856
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,11,Jannik Sinner,Novak Djokovic,,285,forward,1.0,0.029480649867892856,0.029480649867892856,,,,,14,0.2586147884516767,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.029480649867892856
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,12,Novak Djokovic,Holger Rune,,295,reverse,0.0,0.028308584691323416,0.028308584691323416,,,,,35,0.21363754595080706,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]",0.028308584691323416
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,13,Holger Rune,Novak Djokovic,,295,forward,1.0,0.028308584691323413,0.028308584691323413,,,,,34,0.21363754595080706,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.028308584691323413
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,14,Novak Djokovic,Taylor Fritz,,293,reverse,0.0,0.028169761063909005,0.028169761063909005,,,,,31,0.1939491305182256,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0]",0.028169761063909005
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,15,Taylor Fritz,Novak Djokovic,,293,forward,1.0,0.028169761063909005,0.028169761063909005,,,,,30,0.1939491305182256,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.028169761063909005
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,16,Novak Djokovic,Daniil Medvedev,,283,reverse,0.0,0.027657574532913197,0.027657574532913197,,,,,11,0.27929913834851744,"[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.027657574532913197
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_outcomes,add,all_outcomes,Carlos Alcaraz,Novak Djokovic,17,Daniil Medvedev,Novak Djokovic,,283,forward,1.0,0.027657574532913197,0.027657574532913197,,,,,10,0.27929913834851744,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.027657574532913197
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_weighted,add,weighted,Carlos Alcaraz,Novak Djokovic,0,Novak Djokovic,Carlos Alcaraz,,291,reverse,0.0,0.01826890049962251,0.01826890049962251,,,,,27,0.3894696032050388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0]",0.046907127922906806
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_weighted,add,weighted,Carlos Alcaraz,Novak Djokovic,1,Carlos Alcaraz,Novak Djokovic,,291,forward,1.0,0.01826890049962251,0.01826890049962251,,,,,26,0.3894696032050388,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.046907127922906806
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_weighted,add,weighted,Carlos Alcaraz,Novak Djokovic,2,Daniil Medvedev,Carlos Alcaraz,,333,reverse,0.0,0.009114122258901606,0.009114122258901606,,,,,111,0.6220829011279112,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0]",0.014650976971681112
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),add_weighted,add,weighted,Carlos Alcaraz,Novak Djokovic,3,Carlos Alcaraz,Daniil Medvedev,,333,forward,1.0,0.009114122258901606,0.009114122258901606,,,,,110,0.6220829011279112,"[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.014650976971681112
