dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,0,0.7810248661679087,Drop,0.7810248661679087,0.0,1.0,1.0
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,1,0.7817644056018804,Drop,0.7810248661679087,0.0007395394339717587,1.0009468833400916,1.0009468833400916
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,2,0.7761977719953234,Drop,0.7810248661679087,-0.004827094172585311,0.9938195384274134,0.9938195384274134
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,3,0.7669066944292172,Drop,0.7810248661679087,-0.014118171738691454,0.9819235310548279,0.9819235310548279
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,4,0.7689949871773076,Drop,0.7810248661679087,-0.01202987899060104,0.9845973162805616,0.9845973162805616
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,5,0.7632993047199077,Drop,0.7810248661679087,-0.01772556144800097,0.9773047412242183,0.9773047412242183
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,6,0.7612196732822315,Drop,0.7810248661679087,-0.01980519288567717,0.9746420456715403,0.9746420456715403
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,7,0.7616282886832083,Drop,0.7810248661679087,-0.01939657748470036,0.9751652241498155,0.9751652241498155
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,8,0.7575133007349532,Drop,0.7810248661679087,-0.023511565432955517,0.9698965212870688,0.9698965212870688
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,9,0.7506842212885145,Drop,0.7810248661679087,-0.03034064487939414,0.9611527799002607,0.9611527799002607
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,10,0.7477651113087705,Drop,0.7810248661679087,-0.033259754859138124,0.9574152420750356,0.9574152420750356
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,11,0.7479310013189409,Drop,0.7810248661679087,-0.03309386484896781,0.95762764249576,0.95762764249576
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,12,0.7505797449576735,Drop,0.7810248661679087,-0.030445121210235127,0.9610190116486126,0.9610190116486126
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,13,0.7490260567132335,Drop,0.7810248661679087,-0.03199880945467515,0.9590297174382206,0.9590297174382206
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,14,0.7583047978468469,Drop,0.7810248661679087,-0.02272006832106177,0.9709099296254964,0.9709099296254964
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,15,0.7476985289642656,Drop,0.7810248661679087,-0.033326337203643086,0.9573299921074748,0.9573299921074748
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,16,0.7626682595940285,Drop,0.7810248661679087,-0.018356606573880163,0.9764967706291521,0.9764967706291521
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,17,0.7553968648778301,Drop,0.7810248661679087,-0.025628001290078584,0.9671867024979344,0.9671867024979344
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,18,0.7488655370135202,Drop,0.7810248661679087,-0.03215932915438846,0.9588241929963409,0.9588241929963409
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,19,0.7634234956945453,Drop,0.7810248661679087,-0.01760137047336341,0.9774637514939513,0.9774637514939513
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,20,0.7504381008259203,Drop,0.7810248661679087,-0.030586765341988342,0.9608376548981571,0.9608376548981571
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,21,0.7922971922447631,Drop,0.7810248661679087,0.011272326076854466,1.0144327364788808,1.0144327364788808
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,greedy,22,0.791794244533832,Drop,0.7810248661679087,0.010769378365923288,1.0137887778384869,1.0137887778384869
