dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,0,0.7195357528522849,Drop,0.7195357528522849,0.0,1.0,1.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,1,0.7065243865532034,Drop,0.7195357528522849,-0.013011366299081506,0.9819169982207226,0.9819169982207226
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,2,0.6934360310127817,Drop,0.7195357528522849,-0.026099721839503154,0.9637269979482712,0.9637269979482712
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,3,0.6779568068185174,Drop,0.7195357528522849,-0.04157894603376744,0.9422142042713709,0.9422142042713709
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,4,0.6672343734185383,Drop,0.7195357528522849,-0.052301379433746575,0.9273123271131134,0.9273123271131134
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,5,0.6540188512131393,Drop,0.7195357528522849,-0.06551690163914559,0.9089455925165185,0.9089455925165185
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,6,0.6418244209617805,Drop,0.7195357528522849,-0.07771133189050439,0.8919979562065515,0.8919979562065515
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,7,0.627898892681378,Drop,0.7195357528522849,-0.09163686017090689,0.872644465813335,0.872644465813335
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,8,0.611816435548392,Drop,0.7195357528522849,-0.10771931730389284,0.850293308043573,0.850293308043573
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,9,0.5946702798175229,Drop,0.7195357528522849,-0.12486547303476203,0.8264638379124492,0.8264638379124492
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,10,0.575020179136579,Drop,0.7195357528522849,-0.1445155737157059,0.7991544226359328,0.7991544226359328
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,11,0.5526424461632182,Drop,0.7195357528522849,-0.16689330668906666,0.7680541848997897,0.7680541848997897
