dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,influence_pair,pairwise_influence,0,True,2,2,2,6,7,0.05101373435442813
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,rigging,omni_bt_diff,0,True,2,2,2,6,7,-0.24249390798554193
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,influence_pair,pairwise_influence,1,True,4,4,4,6,7,0.01184476113803945
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,rigging,omni_bt_diff,1,True,4,4,4,6,7,-0.3168446889755814
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,influence_pair,pairwise_influence,2,True,1,1,1,6,7,0.021651726509301694
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,rigging,omni_bt_diff,2,True,1,1,1,6,7,-0.2693370998290958
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,influence_pair,pairwise_influence,3,True,6,6,6,6,7,0.004262959917876952
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,rigging,omni_bt_diff,3,True,6,6,6,6,7,-0.25323057938832383
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,influence_pair,pairwise_influence,4,True,5,5,5,6,7,0.03159933821057259
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Alexander Zverev,demote,6,rigging,omni_bt_diff,4,True,5,5,5,6,7,-0.27022514549185916
